Sample	Bin	Taxonomic description	Relative abundance (%)	# contigs	Total length (bp)	Largest contig (bp)	N50	L50	GC%	Coverage	# ORFs	# SSUs	Circular	Putative virus	# reads recruited	% reads assigned	Lowest-rank taxon to which ≥ 75% reads assigned	TaxID	Rate %	Taxon of any rank to which most reads assigned	TaxID	Rate %	CheckM-inferred UID and lineage	Completeness	Contamination	Heterogeneity	5S rRNA	16S rRNA	23S rRNA	# of 20 tRNAs
3	26	unidentified organism	0.05	285	451,664	 5,112 	1,615	102	57.15	10.41	482	1	no	no	 33,340 	4.016	Coriobacteriia	84998	80.28	Senegalimassilia anaerobia JC110	1034345	23.6	203: k__Bacteria	13.2	0	0	no	no	no	2
3	27	putative virus ph4	0.05	1	42,107	 42,107 	42,107	1	41.67	99.52	54	0	yes	yes	 28,459 	0.028	Gammaproteobacteria	1236	87.5	Enterobacter sp. E20	1560339	62.5	1: root	0	0	0	no	no	no	0
3	28	putative virus ph9	0.03	1	58,405	 58,405 	58,405	1	49.72	44.17	98	0	yes	yes	 17,594 	0.017	Bacteria	2	100	Enterobacter sp. E20	1560339	66.67	1: root	0	0	0	no	no	no	1
3	29	putative virus ph3 (crish E)	0.03	6	97,789	 25,656 	19,222	3	35.01	24.99	104	0	no	yes	 16,547 	0.018	Bacteria	2	100	Mycobacterium tuberculosis 210	164513	66.67	0: root	0	0	0	no	no	no	18
3	30	putative virus ph4	0.02	3	42,360	 17,348 	14,475	2	43.43	40.98	49	0	no	yes	 11,828 	0.008	Escherichia coli	562	100	Escherichia coli XH001	1069495	100	1: root	0	0	0	no	no	no	0
3	31	Escherichia coli island	0.01	29	48,538	 3,335 	1,649	12	39.69	12.13	37	0	no	no	 4,065 	99.95	Escherichia coli	562	98.5	Escherichia coli	562	19.76	1: root	0	0	0	no	no	no	0
3	32	Firmicutes bacterium CAG:41	0.01	46	60,638	 2,721 	1,251	20	39.13	9.51	49	0	no	no	 4,063 	78.31	Firmicutes bacterium CAG:41	1263021	94.72	Firmicutes bacterium CAG:41	1263021	94.72	203: k__Bacteria	2.04	0	0	no	no	no	0
10	1	Collinsella sp.	17.18	26	2,087,326	 325,965 	126,991	6	60.1	397.26	1765	0	no	no	 5,798,682 	89.61	Collinsella	102106	99.16	Collinsella sp. 4_8_47FAA	742722	36.77	2112: p__Actinobacteria	100	0.81	0	yes	no	no	17
10	2	Escherichia coli (a)	6.28	889	5,531,935	 57,363 	11,806	139	51.03	54.81	5262	5	no	no	 2,134,525 	99.94	Escherichia coli	562	95.08	Escherichia coli	562	18.2	5124: f__Enterobacteriaceae	99.46	14.43	95.15	no	no	no	17
10	3	bacterium LF-3	2.7	56	2,659,835	 167,407 	70,461	12	29.43	48.96	2842	8	no	no	 924,704 	84.36	bacterium LF-3	1504823	98.92	bacterium LF-3	1504823	98.92	2372: k__Bacteria	99.06	0	0	no	no	no	20
10	4	Klebsiella pneumoniae	1.51	1805	5,912,400	 32,323 	4,852	337	57.44	12.32	6056	4	no	no	 518,819 	98.98	Klebsiella pneumoniae	573	78.7	Klebsiella pneumoniae	573	22.37	5121: f__Enterobacteriaceae	96.67	21.11	81.32	yes	no	no	14
10	5	Bacteroides sp.	0.87	1	46,904	 46,904 	46,904	1	46.86	893.56	50	0	no	no	 294,446 	81.25	Bacteroides	816	87.67	Bacteroides barnesiae DSM 18169 = JCM 13652	1121094	28.69	1: root	4.17	0	0	no	no	no	0
10	6	Enterobacter cloacae	0.76	1129	3,852,387	 35,488 	4,611	237	55.54	9.54	3964	2	no	no	 261,987 	98.88	Enterobacter cloacae	550	84.99	Enterobacter cloacae	550	74.21	5124: f__Enterobacteriaceae	86.37	3.34	35.14	yes	no	no	13
10	7	Firmicutes bacterium CAG:41	0.71	279	2,610,310	 73,459 	16,290	44	38.69	13.06	2263	2	no	no	 240,549 	82.5	Firmicutes bacterium CAG:41	1263021	96.78	Firmicutes bacterium CAG:41	1263021	96.78	1212: o__Clostridiales	97.32	2.03	20	yes	no	no	14
10	8	Parvimonas micra	0.56	61	1,461,365	 223,919 	32,732	12	28.39	18.63	1360	1	no	no	 191,640 	97.33	Parvimonas micra	33033	87.22	Parvimonas micra ATCC 33270	411465	29.85	1125: o__Clostridiales	94.04	0.78	0	no	no	no	16
10	9	Lactococcus garvieae	0.46	305	1,866,621	 61,573 	9,543	54	38.91	12.02	1824	3	no	no	 157,691 	94.55	Lactococcus garvieae	1363	99.31	Lactococcus garvieae ATCC 49156	420889	20.04	543: o__Lactobacillales	97.91	3.51	38.46	yes	no	no	18
10	10	putative virus ph4	0.39	5	43,094	 13,674 	12,206	2	39.86	433.29	55	0	no	yes	 130,725 	0.022	Bacteria	2	100	Enterobacter sp. E20	1560339	27.59	1: root	0	0	0	no	no	no	0
10	11	Peptostreptococcus stomatis	0.37	287	1,598,129	 32,351 	8,342	54	37.48	11.06	1451	1	no	no	 127,010 	93.34	Peptostreptococcus stomatis	341694	96.87	Peptostreptococcus stomatis DSM 17678	596315	96.87	1120: o__Clostridiales	92.66	1.4	0	no	no	no	2
10	12	Rothia mucilaginosa	0.31	908	1,970,787	 10,154 	2,393	259	60.74	7.51	1901	1	no	no	 106,592 	75.33	Rothia mucilaginosa	43675	98.62	Rothia mucilaginosa DY-18	680646	37.56	1530: o__Actinomycetales	74.33	12.56	72.22	no	yes	no	6
10	13	Escherichia coli (b)	0.26	449	1,066,651	 27,606 	2,971	100	50.09	11.54	1176	0	no	no	 88,104 	98.92	Escherichia coli	562	92.81	Escherichia coli	562	18.64	1: root	0	0	0	no	no	no	1
10	14	Escherichia coli island	0.06	41	161,990	 26,213 	5,975	8	37.89	18.21	172	0	no	no	 21,032 	99.91	Escherichia coli	562	79.49	Escherichia coli	562	15.1	1: root	0	0	0	no	no	no	0
10	15	unidentified organism dm3 (TM7x-like)	0.06	206	358,504	 5,552 	1,747	73	43.76	7.58	364	0	no	no	 19,568 	10.59	Candidatus Saccharibacteria oral taxon TM7x	1476577	82.4	Candidatus Saccharibacteria oral taxon TM7x	1476577	82.4	1453: k__Bacteria	35.8	1.1	66.67	no	no	no	3
45	1	Collinsella sp. (a)	6.25	92	2,198,554	 117,987 	42,937	17	59.99	95.97	1908	2	no	no	 1,467,879 	88.11	Collinsella	102106	98.15	Collinsella aerofaciens ATCC 25986	411903	36.42	2112: p__Actinobacteria	97.58	0.81	0	no	no	no	16
45	2	putative virus ph5	4.54	1	151,737	 151,737 	151,737	1	41.54	1010.57	204	0	no	yes	 1,059,793 	1.744	Parabacteroides distasonis	823	98.77	Parabacteroides distasonis str. 3999B T(B) 4	1339344	68.16	1: root	0	0	0	no	no	no	2
45	3	Escherichia coli	2.69	700	5,620,249	 84,914 	15,344	100	50.67	16.15	5340	1	no	no	 627,466 	99.93	Escherichia coli	562	96.67	Escherichia coli	562	20.39	5162: f__Enterobacteriaceae	99.55	8.76	87	yes	no	no	15
45	4	bacterium LF-3	2.44	60	2,780,829	 272,880 	75,478	12	29.27	29.65	2949	6	no	no	 566,017 	85.04	bacterium LF-3	1504823	97.27	bacterium LF-3	1504823	97.27	2372: k__Bacteria	98.11	0	0	no	no	no	20
45	5	Blautia sp. CAG:37	2.41	340	3,375,387	 58,069 	19,014	54	48.28	24.12	3098	3	no	no	 563,732 	84.63	Blautia sp. CAG:37	1262757	95.38	Blautia sp. CAG:37	1262757	95.38	1226: o__Clostridiales	98.31	13.71	93.55	no	no	no	16
45	6	putative virus ph1 (crish A)	2.41	8	83,904	 24,825 	17,758	2	36.15	970.28	113	0	no	yes	 567,969 	0.019	Bacteria	2	100	Enterobacter sp. E20	1560339	26.85	1: root	0	0	0	no	no	no	0
45	7	unidentified organism dm1 (Ruminococcaceae-like)	1.74	56	2,309,968	 122,350 	57,959	14	60.04	25.42	2068	1	no	no	 409,331 	11.14	Ruminococcaceae	541000	77.57	Subdoligranulum variabile DSM 15176	411471	53.68	1212: o__Clostridiales	92.52	0	0	yes	no	no	16
45	8	putative virus ph8 (crish I)	1.65	1	93,773	 93,773 	93,773	1	31.94	594.69	82	0	yes	yes	 385,103 	0.013	Bacteria	2	96.23	Enterobacter sp. E20	1560339	15.09	1: root	0	0	0	no	no	no	0
45	9	putative virus ph7 (crish D)	1.28	1	98,054	 98,054 	98,054	1	32.68	439.19	99	0	yes	yes	 295,958 	70.89	Veillonella sp. CAG:933	1262980	99.29	Veillonella sp. CAG:933	1262980	99.29	1: root	0	0	0	no	no	no	0
45	10	Enterococcus faecium	1.15	600	3,262,231	 108,935 	11,110	70	37.83	11.94	3322	3	no	no	 271,124 	99.12	Enterococcus faecium	1352	94.19	Enterococcus faecium E1039	645663	3.56	544: o__Lactobacillales	99.16	4.88	90	no	no	no	16
45	11	unidentified organism dm1 (Clostridiales-like)	1.08	105	2,650,317	 125,255 	38,482	21	56.15	13.8	2334	3	no	no	 256,009 	7.272	Clostridiales	186802	95.18	Subdoligranulum variabile DSM 15176	411471	26.84	1212: o__Clostridiales	99.32	0.91	50	no	no	no	18
45	12	putative virus ph2 (crish B)	1.04	1	103,077	 103,077 	103,077	1	33.83	341.68	171	0	no	yes	 242,659 	0.033	Bacteria	2	100	Veillonella sp. CAG:933	1262980	39.51	1: root	0	0	0	no	no	no	0
45	13	Eggerthella sp. CAG:298	0.49	101	1,705,525	 63,951 	26,111	23	54.68	9.79	1488	1	no	no	 115,293 	76.67	Eggerthella sp. CAG:298	1262876	99.47	Eggerthella sp. CAG:298	1262876	99.47	2112: p__Actinobacteria	100	0.55	0	no	yes	yes	16
45	14	Lactobacillus delbrueckii	0.38	378	1,653,797	 24,078 	6,326	81	50.33	7.72	1653	6	no	no	 89,454 	99.35	Lactobacillus delbrueckii	1584	98.51	Lactobacillus delbrueckii subsp. lactis	29397	41.25	377: g__Lactobacillus	94.47	0.7	0	yes	no	no	15
45	15	Collinsella sp. (b)	0.32	438	1,110,467	 18,559 	3,060	103	59.28	9.66	1106	1	no	no	 75,260 	75.77	Collinsella	102106	95.02	Collinsella aerofaciens ATCC 25986	411903	34.4	203: k__Bacteria	28.21	0	0	no	no	no	3
45	16	Akkermansia sp.	0.17	707	1,255,225	 6,749 	1,795	238	55.92	4.46	1297	0	no	no	 39,785 	94.54	Akkermansia	239934	99.71	Akkermansia muciniphila CAG:154	1263034	52.16	2982: k__Bacteria	47.63	0.04	0	no	no	no	3
76	1	Escherichia coli (a)	24.63	765	4,440,047	 32,784 	7,771	172	50.68	132.95	4169	7	no	no	 4,092,734 	99.93	Escherichia coli	562	96.19	Escherichia coli	562	19.64	5124: f__Enterobacteriaceae	92.11	10.26	93.69	yes	no	no	16
76	2	Enterobacter cloacae	8.38	2361	6,704,175	 24,966 	3,376	592	55.88	29.95	7037	9	no	no	 1,394,369 	99.84	Enterobacter cloacae	550	80.74	Enterobacter cloacae	550	67.4	5124: f__Enterobacteriaceae	98.64	51.19	94.79	yes	no	no	15
76	3	Escherichia coli (b)	7.64	1773	4,764,026	 109,127 	3,184	310	48.49	38.42	5037	0	no	no	 1,274,010 	99.59	Escherichia coli	562	96.33	Escherichia coli	562	20.22	203: k__Bacteria	22.41	7.76	100	no	no	no	10
76	4	Klebsiella pneumoniae	5.66	521	5,275,772	 77,706 	16,779	97	57.85	25.72	5097	3	no	no	 946,030 	99.98	Klebsiella pneumoniae	573	90.99	Klebsiella pneumoniae	573	28.82	5121: f__Enterobacteriaceae	99.56	8.57	94.68	yes	no	no	16
76	5	unidentified organism (Akkermansia-like)	5.07	44	3,109,423	 316,539 	98,630	9	56.86	39.08	2598	1	no	no	 843,133 	21.65	Akkermansia	239934	98.87	Akkermansia sp. CAG:344	1262691	74.24	2982: k__Bacteria	97.96	0.68	0	yes	no	yes	17
76	6	Citrobacter sp. (a)	4.81	213	4,688,976	 152,228 	37,063	40	51.96	24.57	4356	7	no	no	 805,307 	98.24	Citrobacter	544	95.21	Citrobacter sp. 30_2	469595	30.35	5124: f__Enterobacteriaceae	97.82	2.96	97.37	no	no	no	18
76	7	Lactococcus garvieae	3.11	16	1,849,545	 399,898 	216,975	4	38.43	40.27	1827	3	no	no	 513,534 	99.95	Lactococcus garvieae	1363	98.85	Lactococcus garvieae	1363	33.49	543: o__Lactobacillales	100	0	0	yes	no	no	17
76	8	Enterobacter sp. (b)	1.65	2397	5,004,795	 21,197 	2,261	670	53.79	7.88	5467	1	no	no	 283,446 	97.76	Enterobacter	547	97.18	Enterobacter cloacae	550	26.7	203: k__Bacteria	47.88	12.28	87.5	no	no	no	10
76	9	Klebsiella sp. (b)	1.44	1960	4,121,976	 17,951 	2,223	548	55.72	8.35	4412	2	no	no	 243,888 	98.59	Klebsiella	570	97.43	Klebsiella pneumoniae UCICRE 14	1328397	16.59	203: k__Bacteria	24.61	0	0	no	no	no	5
76	10	bacterium LF-3	1.15	112	2,569,949	 107,689 	32,072	24	29.17	10.73	2688	4	no	no	 189,643 	86.76	bacterium LF-3	1504823	97.87	bacterium LF-3	1504823	97.87	2372: k__Bacteria	94.58	0.94	0	no	no	no	14
76	11	Blautia sp. CAG:37	1.1	274	2,739,737	 75,226 	17,180	47	48.71	9.64	2521	1	no	no	 184,195 	86.17	Blautia sp. CAG:37	1262757	95.15	Blautia sp. CAG:37	1262757	95.15	1226: o__Clostridiales	95.36	2.64	42.86	no	no	no	15
76	12	Eubacterium sp. CAG:251	0.42	403	1,652,837	 22,106 	5,101	96	38.51	6.16	1530	0	no	no	 71,948 	95.03	Eubacterium sp. CAG:251	1262886	97.09	Eubacterium sp. CAG:251	1262886	97.09	1212: o__Clostridiales	88.81	1.34	0	no	no	no	13
76	13	putative virus ph6 (crish C)	0.38	1	95,539	 95,539 	95,539	1	32.85	94.5	92	0	yes	yes	 61,938 	0.019	Proteobacteria	1224	100	Vibrio parahaemolyticus	670	33.33	1: root	0	0	0	no	no	no	0
76	14	unidentified organism dm2	0.35	467	1,504,199	 23,396 	3,953	120	48.26	5.55	1522	0	no	no	 58,752 	0.328	Firmicutes	1239	93.26	Firmicutes bacterium CAG:238	1263011	9.84	1120: o__Clostridiales	71.93	2.36	40	no	no	no	5
76	15	Citrobacter sp. (b)	0.3	661	1,062,624	 9,005 	1,548	225	51.24	6.68	1048	0	no	no	 50,742 	99.7	Citrobacter	544	91.25	Citrobacter freundii	546	19.94	203: k__Bacteria	10.34	0	0	no	no	no	2
78	1	Escherichia coli (a)	17.63	677	5,439,872	 55,072 	11,404	144	50.73	81.21	5212	4	no	no	 3,063,608 	99.97	Escherichia coli	562	96.57	Escherichia coli	562	16.25	5124: f__Enterobacteriaceae	97.94	10.42	92.31	yes	no	no	16
78	2	Escherichia coli (b)	4.03	1422	3,699,861	 40,115 	3,042	291	49.92	27.27	3172	1	no	no	 704,081 	99.83	Escherichia coli	562	94.88	Escherichia coli	562	18.13	203: k__Bacteria	24.48	0	0	no	no	no	3
78	3	Enterobacter sp.	2.15	2288	6,171,261	 22,011 	3,309	535	55.14	8.73	6492	5	no	no	 388,690 	99.74	Enterobacter	547	95.21	Enterobacter cloacae	550	22.83	5124: f__Enterobacteriaceae	94.68	46.35	82.47	yes	no	no	14
78	4	bacterium LF-3	1.48	124	2,664,588	 101,224 	32,137	26	29.31	13.89	2753	5	no	no	 255,977 	87.62	bacterium LF-3	1504823	97.37	bacterium LF-3	1504823	97.37	2372: k__Bacteria	96.23	0	0	no	yes	no	17
78	5	Veillonella sp.	0.94	681	2,338,700	 28,697 	4,595	143	39.1	10.04	2218	4	no	no	 166,590 	87.36	Veillonella	29465	97.99	Veillonella dispar ATCC 17748	546273	58.55	1024: o__Selenomonadales	96.86	9.58	80.65	no	no	no	14
78	6	Eubacterium sp.	0.91	291	2,420,474	 39,970 	10,870	63	37.87	9.43	2264	2	no	no	 158,808 	93.57	Eubacterium	1730	98.16	Eubacterium eligens CAG:72	1263077	71.15	1212: o__Clostridiales	90.94	0.92	66.67	no	no	no	7
78	7	Citrobacter sp.	0.48	1089	1,719,481	 6,908 	1,579	398	52.13	6.97	1750	0	no	no	 87,858 	99.15	Citrobacter	544	93.38	Citrobacter sp. KTE32	1169350	19.87	203: k__Bacteria	40.52	1.72	100	no	no	no	3
78	8	Klebsiella sp.	0.39	1007	1,522,191	 10,041 	1,434	362	55.96	6.38	1762	1	no	no	 72,661 	99.06	Klebsiella	570	94.27	Klebsiella pneumoniae	573	14.68	203: k__Bacteria	16.38	1.72	0	no	no	no	2
78	9	putative virus ph14	0.34	1	17,791	 17,791 	17,791	1	52.7	484.08	24	0	no	yes	 59,714 	0.035	Bacteria	2	100	Streptomyces albulus ZPM	1434306	19.05	1: root	0	0	0	no	no	no	0
78	10	Firmicutes bacterium CAG:41	0.17	490	819,048	 4,715 	1,715	171	39.29	5.15	720	1	no	no	 30,558 	75.79	Firmicutes bacterium CAG:41	1263021	93.48	Firmicutes bacterium CAG:41	1263021	93.48	1212: o__Clostridiales	24.28	0	0	no	no	no	0
78	11	putative virus	0.15	1	34,110	 34,110 	34,110	1	39.78	109.06	48	0	yes	yes	 25,606 	0.039	Bacteria	2	100	Escherichia coli XH001	1069495	20	1: root	0	0	0	no	no	no	0
78	12	unidentified organism dm8	0.12	389	628,769	 4,905 	1,655	134	55.75	4.85	653	0	no	no	 22,275 	2.612	Bacteria	2	100	Blautia sp. CAG:37	1262757	6.36	1120: o__Clostridiales	15.57	0	0	no	no	no	0
78	13	crAssphage	0.11	1	97,664	 97,664 	97,664	1	29.15	28.46	97	0	yes	yes	 19,123 	86.25	uncultured phage crAssphage	1211417	98.3	uncultured phage crAssphage	1211417	98.3	1: root	0	0	0	no	no	no	0
78	14	Escherichia coli island 1	0.07	12	68,430	 17,387 	9,024	3	33.78	25.65	75	0	no	no	 12,128 	99.96	Escherichia coli	562	98.57	Escherichia coli	562	13.65	1: root	0	0	0	no	no	no	0
78	15	Escherichia coli island 2	0.06	17	85,337	 27,905 	7,242	3	37.02	17.66	78	0	no	no	 10,508 	99.61	Escherichia coli	562	93.1	Escherichia coli	562	16.07	1: root	0	0	0	no	no	no	0
78	16	putative virus ph3 (crish E)	0.03	4	82,229	 29,358 	26,013	2	35.97	8.91	93	0	no	yes	 5,055 	0	unknown	0	0	unknown	0	0	1: root	0	0	0	no	no	no	10
78	17	putative virus ph3 (crish E)	0.01	10	20,798	 3,019 	2,501	4	35.91	6.2	17	0	no	yes	 919 	13.38	Bacteroides ovatus	28116	97.56	Bacteroides ovatus CL03T12C18	997886	95.93	1: root	0	0	0	no	no	no	0
101	1	Eubacterium sp.	9.77	43	2,859,941	 256,626 	89,947	10	41.39	321.19	2660	5	no	no	 6,219,688 	89.45	Eubacterium	1730	96.51	Eubacterium rectale CAG:36	1263079	48.94	1286: f__Lachnospiraceae	97.58	0	0	no	no	no	16
101	2	Coprococcus sp. CAG:131	7.8	15	2,903,627	 513,668 	217,956	5	44.1	252.51	2536	5	no	no	 4,978,127 	93.07	Coprococcus sp. CAG:131	1262862	87.06	Coprococcus sp. CAG:131	1262862	87.06	1212: o__Clostridiales	99.33	0	0	no	no	no	18
101	3	unidentified organism (Firmicutes bacterium CAG:460-like)	6.16	11	1,262,900	 289,194 	183,268	3	26.36	458.92	1341	1	no	no	 3,903,745 	39.15	Firmicutes bacterium CAG:460	1263024	88.45	Firmicutes bacterium CAG:460	1263024	88.45	2329: k__Bacteria	91.57	3.37	0	no	no	yes	18
101	4	Eubacterium sp. CAG:202	4.85	23	2,134,130	 405,948 	150,312	5	38.59	213.6	1999	2	no	no	 3,089,992 	86.5	Eubacterium sp. CAG:202	1262884	96.55	Eubacterium sp. CAG:202	1262884	96.55	1212: o__Clostridiales	98.66	0.34	0	yes	no	no	17
101	5	Holdemanella biformis	3.83	92	2,256,770	 138,761 	31,792	21	33.98	159.38	2228	5	no	no	 2,426,946 	52.71	Holdemanella biformis	1735	95.95	Holdemanella biformis DSM 3989	518637	95.95	2372: k__Bacteria	97.04	1.38	25	yes	no	no	18
101	6	Clostridium sp. CAG:245	2.46	16	1,480,981	 237,928 	155,141	4	29.74	155.92	1384	1	no	no	 1,557,361 	92.11	Clostridium sp. CAG:245	1262784	98.25	Clostridium sp. CAG:245	1262784	98.25	1212: o__Clostridiales	76.78	1.34	0	yes	no	no	13
101	7	Firmicutes bacterium CAG:321	2.38	5	1,262,650	 438,159 	381,029	2	26.14	177.48	1298	1	no	no	 1,510,336 	85.63	Firmicutes bacterium CAG:321	1263018	94.99	Firmicutes bacterium CAG:321	1263018	94.99	2329: k__Bacteria	92.7	3.37	0	no	no	no	19
